dac abcf ac fdbcga dgcbae gcbfde fgcbd agfed adcgf cdbgfea
cbegdf ad aecgf befcad agdfc gcbdf adc cfgdbae dabfcg agdb
edcbafg ab eafgcb ecdba egfdcb fcabed debcf abdf eba dagce
bg gcefa aefbdc bcgae fbegacd cadeb fcegdb bgc eagcbd badg
ebgad gf edfcb cegdab dbaegf agfd dgbcefa efdgb fbg gabecf
gbcfea ecdbga cgebf bdefcg fdbe de acgfd gedcf fecdbag ced
gfdceb aegbc ca cbdafg daebcg bac edac gcdbe abegf ceadfbg
cbfea fgadbe eacgf daefcb fgdeabc acdb ba bgecdf fba fedcb
cbfge bdca dgeba dce ebgcd dc gdebac fcgeadb beafgd fdceag
acg cagdfe cebfdg dgcfa fdbac gdcef baegfc acdegbf ag dgae
bfae ea eadcfgb dcgba dacefb dcfaeg dae bdcef decba egbfcd
fcga agbedf edcgaf ca dabcef fegadbc ecgda eca gcdbe gefad
bcead fd gbedfa adcgefb fdgcba bagfce adf fdbae dgfe abfeg
bca cbfgea cdabfe cedfa fdbc cgabefd cagdef eacbd cb bgdea
baedgf debaf edga bgafedc bda ecfbd ad bgdfac afgbe abcfge
acgdb agcdef egc baefcd cfead fbdgeca ge dgace gaef dgcfeb
dbegfa ef fbagce dcgfab efb agfbc cegdfab fecg dcbae aefcb
eabdf fegb aecfgbd fg cabdgf agf dgeca adegbf dacfbe dgefa
gdbec facbeg gbedf egabc dgaebc dcb adgc baecfd cd ceadgbf
ef cfgab fegbc bdecg adbcfge agebfc bafcgd acfe ebf dfaegb
agdebfc dae ecdf bfacge fegca dabcg de gdace gdabfe cfgead
ecg gabce fdecbg edacgb eacbf aegdb cg fcbeadg abgfed dgac
fabec fd egdfca dcf dcfgbe dgeabc dgecb febgacd bfdg dfbec
eacf gfebad cefgad adcgf af bceadg dfa bfdgc gfeadbc ecadg
afgbec fbgdc ag gaebcd agc gfdeacb bcefa ebcfda fgbac fgae
bc bfcad cbgfed baec cbd fdacg fdbae aedgfbc faegbd cdbfea
bedgafc fbdea efgdbc edg cefg fbgdc eg cgafdb febdg egdabc
bgdeca fadcegb adg cfaegd bdae edcbg ad bcgfa cadgb fecgdb
ecgafd faebg gbce defbacg ebfagc eab fadecb be aecgf dfgba
edfg fad bgead cgaebd bcdgaf fdebgac dafgbe ebfac badfe df
cdaeb acdbfg gfeac aefcd gecfad gefd bfgcae fd beacgdf daf
gf aefcd adegbc fecdgb gcebd fcbg cgdef edfabg eadbfgc dgf
gfdcbae cegdab ecgbf dcabef cegdb caegf fbgd bf bfe edfbcg
befdga bcagdef ebgaf bcfega ce cbge gfacd cae cfaebd eagfc
adgbe gcadbef gbfe befadc fdbga agced bde acbfgd fgbeda eb
gdbfec fbdce fgcade ebadfgc cb eacdgb bcd edfba fgbc edgfc
dfaegc deabgc fabdceg gcf fc fdbcag cfde gacfe fbeag aegcd
acdfb dfaec bdcfga ceafbg gedabc fbgd bf cgbad cbf fdgcabe
cfgae dcfageb gbdf gebacd edcfg cdg cdbef dg cdfeab bcefdg
gcdab dabgec fecadg ae cbadgf ade cbaed beag cebdf cbdfgae
fd dfgbcae bdf fgbda cgabf beagd cbadfe gdabfe dbaceg fdeg
ecgdb bfdgec fce caebgd fc fageb fcedga gcebadf cbdf egcbf
bafgd abcedf egb bdacge fageb adecfgb febcag fecab cefg ge
agcbd dac dcebfga ac ceba bcged gaedfc ebgdca adgbf cbfged
agcfd cag gbecfad agdfe gcedfb cbad ac cgbfae bdgcf acfbgd
geadfc bfeg bf bcf bdgca ceadgbf eabfcg bgcfa cfedab afgce
aecbd afced af dfcge afbc edfcab cgbeda gabfde afd faegcdb
dcbfge ab bdgeca bae gcba debcg dagbfe gdeacfb acedb acdfe
ecfadg agfce da cfbgea dae aedcg bfaced cgdbefa debgc dfga
df fdg dfcega gfbce aebdg bdafge bfad egbdf dbafgec acdgeb
eafbc egbac fcb cf cgbadf becdagf cbdaeg efagcb aefbd ecfg
fceab cedfabg fc fadc cgbea bdfea egfadb gecfdb fbc abcefd
gb efadb dcefba fdcga fgbaed fadgb feagcb ebdg beacgfd gab
ebc acgedbf gcfeb edcabf bc bcgefd bcdg gcefd gdfeac egbfa
bgdc efacdg dabce begad cgbaed fabeg baefdc fabecdg gd edg
gaecdf fabc fgaec bc bgc gcfbe bgcdea dgebcfa efgbd afebcg
aef facedg fdgbce cade fegcd fbacgde faecg gfabc egdfab ae
eafcgd cebgf fdc debcfg dbcfg afbgec dc fdbga dbce cedfabg
afegbdc bcaefg decba gdfb aedgfb efb adfge bfade agefcd fb
afcb bgdcfe bacdfe ceadf cbefd caged bgedaf af egfdbca fda
cgdaef eagfb afdbge gfedb ecfbd agbd cbgefa gd agcbefd dfg
ed afbge fbcaeg bcdfa gfeabd gfed egbfcad geadcb adbfe ead
fceba deafbc aegc edbgafc bfdcg ag dbafge cfbeag abg cafgb
fcedg cfdaegb dbfg egcfbd bgc cgbefa cebgd ecbad bg dceafg
